generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
42,23,1320,844,death,9,35.99999999999966,1.0014136727533087,1.8281057563953187,exact_hop
42,23,567,78,explore,10,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
43,23,1536,1495,genericity,3,34.99999999999966,1.0021045054742295,1.9415030503642587,off_manifold_hop
43,23,970,200,deletion,20,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
43,23,1320,844,death,10,35.99999999999966,1.0014136727533087,1.8281057563953165,exact_hop
44,23,1630,1536,genericity,1,34.99999999999977,0.8692989076676516,2.373498218818998,off_manifold_hop
44,23,970,200,deletion,21,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
44,23,1320,844,death,11,35.99999999999966,1.0014136727533087,1.8281057563953187,exact_hop
45,23,1659,1630,genericity,1,34.999999999999545,0.9978439198614156,2.211822841710829,off_manifold_hop
45,23,970,200,deletion,22,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
45,23,1320,844,death,12,35.99999999999966,1.0014136727533087,1.8281057563953176,exact_hop
45,23,567,78,explore,11,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
46,23,1685,1659,genericity,1,34.999999999999545,1.0119653214041937,2.901267372841301,wall:amplitude_wall
46,23,970,200,deletion,23,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
46,23,1320,844,death,13,35.99999999999966,1.0014136727533087,1.8281057563953167,exact_hop
47,23,1725,1685,genericity,1,34.999999999999545,1.0021012629678998,2.3682264394826884,off_manifold_hop
47,23,970,200,deletion,24,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
47,23,1320,844,death,14,35.99999999999966,1.0014136727533087,1.828105756395319,exact_hop
48,23,1752,1725,genericity,1,34.99999999999966,1.0171517524337177,2.9985064244148347,wall:amplitude_wall
48,23,970,200,deletion,25,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
48,23,1320,844,death,15,35.99999999999966,1.0014136727533087,1.8281057563953185,exact_hop
48,23,567,78,explore,12,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
49,23,1781,1752,genericity,1,34.99999999999943,1.0008303124527254,2.0471042480984174,off_manifold_hop
49,23,1796,970,deletion,1,35.99999999999966,0.5982153646345381,2.265380518017223,off_manifold_hop
49,23,1320,844,death,16,35.99999999999966,1.0014136727533087,1.8281057563953171,exact_hop
50,23,1781,1752,genericity,2,34.99999999999943,1.0008303124527254,2.0471042480984156,off_manifold_hop
50,23,1796,970,deletion,2,35.99999999999966,0.5982153646345381,2.2653805180172206,off_manifold_hop
50,23,1320,844,death,17,35.99999999999966,1.0014136727533087,1.8281057563953185,exact_hop
51,23,1848,1781,genericity,1,35.00000000001751,1.0022245791071847,1.856154591720339,exact_hop
